"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","sector"
3.30956215290003,3.65848891605394,1.66484171960803,3.80355445652427,1.61914231304574,0.884719740573062,1.67615621556513,2.42618800771932,0.871212397437695,0.886918406205958,"private"
0.827390538225007,1.82924445802697,3.32968343921607,1.90177722826214,1.61914231304574,3.53887896229225,3.35231243113027,0.808729335906439,3.48484958975078,3.54767362482383,"private"
1.65478107645001,2.74386668704046,2.49726257941205,3.80355445652427,2.42871346956862,2.65415922171919,0.838078107782567,1.61745867181288,2.61363719231309,1.77383681241192,"private"
2.48217161467502,2.74386668704046,1.66484171960803,3.80355445652427,1.61914231304574,2.65415922171919,2.5142343233477,3.23491734362575,1.74242479487539,2.66075521861787,"private"
4.13695269112503,4.57311114506743,1.66484171960803,4.75444307065534,1.61914231304574,1.76943948114612,1.67615621556513,4.04364667953219,1.74242479487539,1.77383681241192,"private"
1.65478107645001,2.74386668704046,2.49726257941205,2.8526658423932,2.42871346956862,2.65415922171919,1.67615621556513,1.61745867181288,1.74242479487539,2.66075521861787,"private"
0.827390538225007,1.82924445802697,2.49726257941205,2.8526658423932,3.23828462609149,3.53887896229225,3.35231243113027,1.61745867181288,2.61363719231309,3.54767362482383,"private"
2.48217161467502,2.74386668704046,1.66484171960803,2.8526658423932,2.42871346956862,2.65415922171919,1.67615621556513,3.23491734362575,1.74242479487539,0.886918406205958,"private"
4.13695269112503,3.65848891605394,0.832420859804017,4.75444307065534,0.809571156522872,2.65415922171919,1.67615621556513,4.04364667953219,0.871212397437695,1.77383681241192,"private"
2.48217161467502,1.82924445802697,2.49726257941205,2.8526658423932,1.61914231304574,4.42359870286531,0.838078107782567,4.04364667953219,0.871212397437695,2.66075521861787,"private"
2.48217161467502,2.74386668704046,2.49726257941205,2.8526658423932,2.42871346956862,2.65415922171919,2.5142343233477,2.42618800771932,2.61363719231309,2.66075521861787,"private"
0.827390538225007,1.82924445802697,4.16210429902009,0.950888614131068,2.42871346956862,4.42359870286531,2.5142343233477,0.808729335906439,1.74242479487539,3.54767362482383,"private"
2.48217161467502,2.74386668704046,3.32968343921607,1.90177722826214,2.42871346956862,3.53887896229225,2.5142343233477,3.23491734362575,1.74242479487539,2.66075521861787,"private"
1.65478107645001,2.74386668704046,2.49726257941205,2.8526658423932,2.42871346956862,2.65415922171919,1.67615621556513,2.42618800771932,1.74242479487539,1.77383681241192,"private"
2.48217161467502,2.74386668704046,2.49726257941205,2.8526658423932,3.23828462609149,2.65415922171919,2.5142343233477,1.61745867181288,2.61363719231309,2.66075521861787,"private"
1.65478107645001,1.82924445802697,3.32968343921607,2.8526658423932,3.23828462609149,4.42359870286531,2.5142343233477,1.61745867181288,1.74242479487539,2.66075521861787,"private"
0.827390538225007,0.914622229013485,4.16210429902009,0.950888614131068,4.04785578261436,4.42359870286531,4.19039053891284,0.808729335906439,4.35606198718848,4.43459203102979,"private"
